"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 0 0.260204081632653 0.224489795918367 0.25 0.280612244897959 0.321428571428571 0.331632653061224 0.724489795918367
"Dij" 0.260204081632653 0 0.198979591836735 0.219387755102041 0.239795918367347 0.295918367346939 0.26530612244898 0.770408163265306
"Arne" 0.224489795918367 0.198979591836735 0 0.204081632653061 0.25 0.306122448979592 0.311224489795918 0.75
"Nev" 0.25 0.219387755102041 0.204081632653061 0 0.214285714285714 0.336734693877551 0.321428571428571 0.770408163265306
"NIt" 0.280612244897959 0.239795918367347 0.25 0.214285714285714 0 0.346938775510204 0.336734693877551 0.760204081632653
"Gai" 0.321428571428571 0.295918367346939 0.306122448979592 0.336734693877551 0.346938775510204 0 0.255102040816327 0.73469387755102
"MCa" 0.331632653061224 0.26530612244898 0.311224489795918 0.321428571428571 0.336734693877551 0.255102040816327 0 0.76530612244898
"Rome3" 0.724489795918367 0.770408163265306 0.75 0.770408163265306 0.760204081632653 0.73469387755102 0.76530612244898 0
