"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 0 0.140625 0.109375 0.1171875 0.140625 0.203125 0.21875 0.3046875
"Dij" 0.140625 0 0.1015625 0.0859375 0.09375 0.1484375 0.125 0.3125
"Arne" 0.109375 0.1015625 0 0.0859375 0.109375 0.171875 0.1953125 0.3125
"Nev" 0.1171875 0.0859375 0.0859375 0 0.078125 0.1875 0.1796875 0.296875
"NIt" 0.140625 0.09375 0.109375 0.078125 0 0.2109375 0.1953125 0.3125
"Gai" 0.203125 0.1484375 0.171875 0.1875 0.2109375 0 0.125 0.3671875
"MCa" 0.21875 0.125 0.1953125 0.1796875 0.1953125 0.125 0 0.390625
"Rome3" 0.3046875 0.3125 0.3125 0.296875 0.3125 0.3671875 0.390625 0
