Place,Aqu,Dij,Sens,Arne,Nev,NIt,Gai,MCa,Rome3,VimD
,,5,5,5,5,5,5,5,-3,5
,4,2,2,2,2,2,2,2,-5,4
,2,4,4,4,4,4,4,4,-7,2
,4,5,5,5,5,5,5,5,-3,4
,5,4,4,4,4,4,4,4,-1,5
,4,5,2,2,5,0,5,5,-3,
,,4,4,4,4,4,,4,-1,
,,2,2,2,2,0,2,2,-3,
,,,,,,,4,4,-5,
,,,,,,,2,2,,
vos ,4,4,4,4,4,2,4,4,-3,4
,2,2,2,2,2,0,2,2,,2
et ,0,0,0,0,0,0,0,0,-3,2
,,,,,,,,,,4
,,,,,,,,,,5
,,,,,,,,,,4
,,,,,,,,,,2
re ,0,0,0,0,0,0,0,0,-1,4
,,,,,,,,,-3,
,,,,,,,,,0,
,,,,,,,,,-1,
,,,,,,,,,-3,
du ,2,2,2,2,2,2,2,2,-5,4
,4,4,4,4,4,4,4,4,-10,5
,,,0,,,,,,,7
,,,,,,,,,,5
cam,0,0,0,0,0,0,0,0,-1,4
,,,,,,,,,0,
cap ,0,0,0,0,0,0,0,0,-1,4
,,,,,,,,,0,
ti,0,0,0,0,0,0,0,0,-1,2
,,,,,,,,,0,
vi,0,0,0,0,0,0,0,0,-1,0
,0,0,0,0,0,,0,,0,2
,,0,0,0,0,,0,,,4
ta,0,0,,,0,0,0,0,-1,2
,,-1,-1,-1,,,,,0,4
,,,,,,,,,,2
,,,,,,,,,,0
,,,,,,,,,,-1
tem ,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3
,2,2,2,2,2,2,2,2,0,-1
,,,,,,,,,-1,0
,,,,,,,,,,2
ve ,0,0,0,0,0,0,0,0,-1,0
,2,2,2,2,2,2,2,2,-3,-1
,-1,-1,-1,-1,-1,0,0,0,-1,-3
,0,0,0,0,0,0,0,0,-3,-1
,-3,-3,-1,-3,-3,-1,-3,-3,-1,
,,,,,,,,,-3,
,,,,,,,,,-5,
stram,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1
,-5,-5,-5,-5,-5,-5,-5,-5,0,-3
,,,,,,,,,-1,-5
,,,,,,,,,-3,
,,,,,,,,,-5,
de ,,0,0,0,0,,0,0,-3,0
,0,0,0,0,0,0,0,0,-1,2
,-1,-1,-1,-1,-1,-1,-1,-1,-3,0
,,,,,,,,,,-1
cunc,,,,-1,,,,,-1,2
,2,2,2,2,2,2,2,2,-3,
,4,4,4,4,4,4,4,4,,
,7,5,7,7,7,7,5,7,,
,,7,,,,,7,,,
tis ,4,4,4,4,4,4,4,4,-5,4
,2,2,2,2,2,2,2,2,-7,2
,4,4,4,4,4,4,4,4,-3,
,5,2,2,2,2,5,2,2,-5,
,4,,,,,4,,,-7,
,2,,,,,2,,,-5,
lo ,2,2,2,2,2,2,2,2,-5,0
,4,4,4,4,4,4,4,4,-3,2
,2,2,2,2,2,2,2,2,0,4
,0,0,0,0,0,0,0,0,-1,0
,2,2,2,2,2,2,2,2,-3,
,,,,,,,,,-1,
,,,,,,,,,-3,
,,,,,,,,,-5,
,,,,,,,,,-3,
cis ,2,2,2,2,2,2,2,2,-3,0
,0,0,0,0,0,0,0,0,-5,
