Place,Aqu,Ger1,Ger2,Dij,Arne,Nev,Gai,MCa,Rome3,VimC
,,,,,,,,-5,-8,
,,,,,,,,-7,,
,,,,,,,,-8,,
,,,,,,,,-7,,
,,,,,,,,-10,,
it,-10,-10,-10,-10,-10,-10,-10,-10,-10,
,-8,-7,-7,-7,-7,-7,-7,-7,-8,
,-7,-8,-8,-10,-10,-8,-8,-8,-7,
,-8,,,,,,,-7,-10,
,,,,,,,,-5,,
me,-10,-10,-10,-10,-10,-10,-10,-7,-10,
,,,,,,,,-7,,
,,,,,,,,-8,,
,,,,,,,,-10,,
