Place,Aqu,Dij,Sens,Nev,MCa,Rome3,VimA
,4,4,4,4,4,4,4
,2,2,2,2,2,2,2
,,,,,,,4
,0,0,0,0,0,0,0
,4,4,4,4,4,-1,2
,,,,,,,4
,2,2,2,2,2,,2
,0,0,0,0,0,0,0
,2,2,2,2,2,,2
,-3,-3,-3,-3,-3,-3,4
,,,,,,,5
,,,,,,,7
,,,,,,,2
,,,,,,,0
,,,,,,,4
,,,,,,,2
,,,,,,,4
,,,,,,,5
,,,,,,,0
,,,,,,,-3
,,,,,,,0
,,,,,,,2
,,,,,,,4
,,,,,,,2
i,,,,,,0,2
,,,,,,-1,
,-3,-3,-3,-3,-3,-3,
,,,,,,-5,
et,0,0,0,0,0,0,2
,0,0,0,0,,,
o,0,0,0,0,0,0,
,,,,,,2,2
pe,,,,,,2,2
,0,0,0,0,0,0,
,,,,,,0,
,,,,,,-1,
ra,,,,,,-3,2
,,,,,,-1,
,,,,,,-3,
,,,,,,-5,
,,,,,,-3,
,0,0,0,0,0,0,
ma,0,0,0,0,0,-1,2
nu,0,0,0,0,0,0,
,,,,,2,2,2
um,0,0,0,0,0,-2,4
,2,2,2,2,2,-10,
e,2,2,2,2,2,2,2
,0,0,0,0,0,4,0
,,-1,-1,-1,-1,2,2
,-5,-5,-5,-5,-5,0,-1
,-3,-3,-3,-3,-3,-1,0
,0,0,0,0,0,0,-3
,-1,-1,-1,-1,-1,2,-5
,-5,-5,-5,,-5,0,0
,,,,,,,4
,-3,-3,-3,,-3,2,2
,0,0,0,,0,0,0
,-1,-1,-1,,-1,-3,2
,2,2,2,2,2,-3,0
,4,4,4,4,4,0,-1
,0,0,0,0,0,-3,0
,,,,,,,2
,,,,,,,0
,,,,,,,-3
,-1,,-1,-1,,-1,-1
,-3,-3,-3,-3,-3,-3,0
,,,,,,-5,-3
jus,-3,-3,-3,-3,-3,-3,-3
,0,0,0,0,0,0,
,-3,-3,-3,-3,-3,-1,
,-5,-5,-5,-5,-5,-3,
,-3,-3,-3,-3,-3,0,
,-1,0,0,0,0,-1,
,0,0,0,0,0,-3,
,-3,-3,-3,-3,-3,-1,
,0,0,0,0,0,-3,
,0,0,0,0,0,-5,
,,,,,0,-3,
,,,,,0,-7,
,-1,-1,-1,-1,-1,-5,
,-3,-3,-3,-3,-3,-3,
,0,0,0,0,0,,
,-5,-5,-5,-5,-5,,
,-5,-5,-5,-5,-5,-5,
,-7,-7,-7,-7,-7,-7,
an,-7,-7,-7,-7,-7,-3,-5
nun,-7,-7,-7,-7,-7,-1,
