Place,Aqu,Arne,Nev,Aux,NIt,Ven,Gai,MCa,Rome3,VimC
,,,,2,-1,,2,2,-1,
ti,,2,2,2,2,2,2,2,,2
,,0,0,0,0,0,,,,0
,,,,,,,,,,2
,4,,,,,,,,,4
,2,,,,,,,,,2
,,,,,,,,,,0
,,,,,,,-1,-1,-3,-1
um,2,0,0,0,0,0,0,0,,
,-1,0,0,0,0,0,0,0,,
,2,0,0,0,-1,0,0,0,,-1
,-1,-3,-3,-3,-3,-3,-3,-3,-3,
,2,-1,-1,-1,-1,-1,-1,-1,,0
,-1,-3,-3,-3,-3,-3,-3,-3,,
fe,2,,,,2,,,,,0
,4,,,,4,,,,,0
,,,,,,,,,,-5
,,,,,,,,,,-3
,,,,,,,,,,-1
,,,,,,,,,,0
,,,,,,,,,,-1
,,,,,,,,,,0
,,,,,,,,-1,-1,-1
,,0,0,0,,0,0,,,0
,,2,2,2,,2,2,2,,2
,,,,,,,,,,0
,,,,,,,,,,-1
cit,2,,,,,,,,-3,-1
,,0,0,0,0,0,0,0,,0
di,2,0,0,0,0,0,0,0,,0
,,0,0,0,0,,0,0,,0
,,0,0,0,0,0,0,0,-5,-5
ser,-3,,,,,,,,-3,-3
,2,-5,-5,-5,-5,-5,-5,-5,-5,-5
,2,-1,-1,-1,-1,-1,-1,-1,,-3
,0,0,0,0,,0,0,0,,0
,,,,,,,,,-7,-1
,,,-3,-3,-3,-3,-3,-3,-8,-3
,,-5,-5,,,,,,-7,-1
,,,-3,,,,,,,
,,,-5,,,,,,,
,,,,,,,,,-10,0
al,,-3,,,0,,-1,,-7,
,2,0,0,0,0,0,,,,
,,-1,-1,-1,-3,-1,-3,-1,-5,-1
le,,,,,,,,,-7,
,,-3,,,,,,,-3,-1
,2,0,0,0,0,0,0,0,,
lu,,,,,,,,,,-1
,2,0,0,0,0,0,0,0,,0
,2,-1,-1,-1,-1,-1,-1,-1,,2
,,0,0,0,0,0,0,0,,0
,-1,-3,-3,-3,,-3,-3,-3,,-1
,,-3,,,,,,,,
,,-5,,-5,-5,,-5,,-5,-3
ia,,,,,,,,,,-1
,,,,,,,,,,2
,,,,,,,,,,0
,,,,,,,,,,2
,,,,,,,,,,0
,,,,,,,,,,-1
,-3,,,,,,,,,-3
,,,,,,,,,,-1
,,,,,,,,,,0
,,,,,,,,,,0
,,,,,,,,,,0
,,-5,-5,-5,-5,-5,-5,-5,-8,-5
al,,,,,,-1,-1,-1,-3,
,,-5,-5,-5,-5,-5,-5,-5,,-5
,-3,-3,-3,-3,-3,-3,-3,-3,-1,
lu,-3,-5,-5,-8,-5,-8,-5,-5,-7,-5
,-1,-3,-3,-5,-3,-5,-3,-3,-3,-3
,-3,-5,-5,-7,-5,-7,-5,-5,-5,-1
,,,,-7,,-7,,,-7,
,,,,,,,,,-5,
,,,,,,,,,-7,
,,,,,,,,,-8,
ia,-3,-5,-5,-7,-5,-7,-5,-5,-7,-3
,,,,-8,,-8,,,-8,-5
