Place,Aqu,Klo,Dij,Sens,Arne,Nev,Gai,MCa,Rome3,VimA
,,-1,,,,,,,-1,
,,,,0,,,,,0,
,,,,,,,,,2,
,,,,,,,,,0,
,,,,-1,,,,,-1,
,,-3,-3,,,-3,,,-3,
,,,,,-1,-1,-1,-1,-1,
,,,-2,,-3,-3,-3,-3,-3,
,,0,,,-1,,-1,-1,-1,
,,,,,,,,,-3,
,,,,,,,,,-5,
gna,,,,,,,,-3,-3,-3
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,,,,,,,,-3,,
,,,,,,,,-1,,
,,,,,,,,-3,-3,
,,,,,,,,-5,-5,
so,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,-5,-5,-5,-5,-5,-7,-5,-5,-5,-5
,,,,,,-5,,,,-3
,-3,-3,-3,-3,-3,-3,-3,-3,,-3
,,,,,,,,,,2
,0,0,0,0,0,,0,0,0,0
,0,-1,-1,-1,-1,,-1,-1,,-1
,,,,,,,,,,0
,,,,,,,,,,-1
,,,,,,-5,,,,-3
,,,,,,,,,,-1
lus,0,0,0,0,0,0,0,0,-3,
,2,2,2,2,2,2,2,2,-5,
,-1,-1,-1,0,0,0,0,0,2,
,0,0,0,0,0,0,0,0,4,
,-3,-3,-3,-3,-3,-3,-3,-3,2,
,-5,-5,-5,-5,-5,-5,-5,-5,0,
,-3,-3,-3,-3,-3,-3,-3,-3,-1,-1
,-3,-3,-3,-3,-3,-3,-3,-3,0,
,-5,-5,-5,-5,-5,-5,-5,-5,-3,-3
,-3,-3,-3,-3,-3,-3,-3,-3,-1,
,-3,-3,-3,-3,-3,-3,-3,-3,-3,
,-5,-5,-5,-5,-5,-5,-5,-5,-5,
,-3,-3,-3,-3,-3,-3,-3,-3,-3,
,0,0,0,0,0,0,0,,-5,
,-1,0,0,0,0,0,0,0,-1,
,0,0,0,0,0,0,0,0,-3,
,-3,-3,-3,-3,-3,-3,-3,-3,-5,
,0,0,0,0,0,0,0,0,-1,
,0,0,0,0,0,0,0,0,-3,
,,,,,,,,0,-5,
,,,,,,,,,-3,
,,,,,,,,,-1,
,,,,,,,,,-3,
,,,,,,,,,-5,
,-1,-1,-1,-1,-1,-1,-1,1,-1,
,-3,-3,-3,-3,-3,-3,-3,-3,-3,
,0,0,0,0,0,0,0,0,0,
,,,,,,,,,-1,
,,,,,,,,,-3,
,,,,,,,,,-5,
,,,,,,,,,-3,
,,,,,,,,,-5,
,,,,,,,,,7,
,,,,,,,,,-5,
,-5,-5,-5,-5,-5,-5,-5,-3,-3,
,-5,-5,-5,-5,-5,-5,-5,-3,-5,
,-7,-7,-7,-7,-7,-7,-7,-5,-7,
,-7,,,,,,,,,
,-3,,,,,,,,,
a,-7,-7,-7,-7,-7,-7,-7,,-7,-7
,,,,,,,,-5,-3,-5
,-3,-3,-3,-3,-3,-3,-3,-3,,-3
sae,-5,,-3,,-3,-3,-3,-3,0,-1
,0,0,0,0,0,0,0,0,2,0
,2,2,2,2,2,2,2,2,4,2
,4,4,5,4,5,5,5,5,,
,,5,5,5,5,5,5,5,2,
,2,2,2,2,2,2,2,2,,
cu,2,2,2,2,2,2,2,2,2,2
,0,0,0,0,0,0,0,0,0,0
,,-1,,,,,,,,-1
,,,,,,,,,,-3
,,,,,,,,,,-1
,0,,0,0,0,0,,0,0,0
,,,-1,-1,-1,-1,-1,-1,-1,-1
,,,,,-3,,,,-3,-3
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
lo,-3,-3,-3,-3,-3,-3,-5,-5,,-3
,0,0,0,0,0,0,0,0,,-1
,0,0,0,0,0,0,0,0,,-5
,0,0,0,0,,0,0,0,,-3
,2,2,2,2,2,2,2,2,,-1
,4,4,4,4,4,4,4,4,,0
,,2,0,0,0,0,0,0,,2
,0,2,0,0,0,0,-1,0,0,2
,-5,-5,-5,,-5,-5,-5,-3,-3,0
,-3,,,-3,,,,,,-1
,0,0,,0,,,,,,2
,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,,-1
,4,4,4,4,4,4,4,4,,-3
,,,,7,-1,2,2,2,-1,2
,2,2,2,2,,,,0,2,4
,0,0,0,0,0,0,0,0,0,2
,,-1,-1,-1,-1,-1,-1,-1,0,0
,-5,-5,-5,5,5,-5,-5,-5,,2
,-3,-3,-3,-3,-3,-3,-3,-3,,0
,,-1,-5,,,-5,-5,-5,,-1
,0,0,-3,0,,,-3,-3,,-3
