"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 0 18 14 15 18 26 28 39
"Dij" 18 0 13 11 12 19 16 40
"Arne" 14 13 0 11 14 22 25 40
"Nev" 15 11 11 0 10 24 23 38
"NIt" 18 12 14 10 0 27 25 40
"Gai" 26 19 22 24 27 0 16 47
"MCa" 28 16 25 23 25 16 0 50
"Rome3" 39 40 40 38 40 47 50 0
