"Aqu" "Ger1" "Dij" "Arne" "Nev" "Aux" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 0 23 28 21 25 28 30 32 29 61
"Ger1" 23 0 21 20 17 23 26 26 30 61
"Dij" 28 21 0 14 16 20 21 15 16 65
"Arne" 21 20 14 0 12 18 18 20 22 60
"Nev" 25 17 16 12 0 9 18 21 22 61
"Aux" 28 23 20 18 9 0 24 25 20 64
"NIt" 30 26 21 18 18 24 0 24 28 64
"Gai" 32 26 15 20 21 25 24 0 15 69
"MCa" 29 30 16 22 22 20 28 15 0 67
"Rome3" 61 61 65 60 61 64 64 69 67 0
