"Aqu" "Ger1" "Sens" "Arne" "Nev" "Gai" "MCa" "Rome2" "Rome3" "VimA"
"Aqu" 0 6 12 9 12 11 8 52 49 33
"Ger1" 6 0 12 4 13 5 4 50 48 34
"Sens" 12 12 0 10 6 8 9 52 50 28
"Arne" 9 4 10 0 11 3 6 50 50 34
"Nev" 12 13 6 11 0 9 10 53 50 28
"Gai" 11 5 8 3 9 0 3 50 50 33
"MCa" 8 4 9 6 10 3 0 50 48 33
"Rome2" 52 50 52 50 53 50 50 0 13 70
"Rome3" 49 48 50 50 50 50 48 13 0 67
"VimA" 33 34 28 34 28 33 33 70 67 0
