"Aqu" "Ger1" "Dij" "Arne" "Nev" "Che" "Gai" "MCa" "Rou" "Rome3"
"Aqu" 0 15 16 19 21 22 21 25 25 58
"Ger1" 15 0 13 13 20 13 11 20 18 56
"Dij" 16 13 0 11 12 11 9 18 16 59
"Arne" 19 13 11 0 12 7 9 17 13 58
"Nev" 21 20 12 12 0 13 9 17 15 57
"Che" 22 13 11 7 13 0 8 18 17 58
"Gai" 21 11 9 9 9 8 0 14 11 56
"MCa" 25 20 18 17 17 18 14 0 15 51
"Rou" 25 18 16 13 15 17 11 15 0 50
"Rome3" 58 56 59 58 57 58 56 51 50 0
