"Aqu" "Ger1" "Dij" "Sens" "Nev" "Che" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 0 7 17 15 15 12 15 15 52 41
"Ger1" 7 0 16 15 13 9 15 15 52 45
"Dij" 17 16 0 7 9 10 8 8 53 45
"Sens" 15 15 7 0 9 11 8 9 55 45
"Nev" 15 13 9 9 0 9 11 10 53 44
"Che" 12 9 10 11 9 0 11 9 53 44
"Gai" 15 15 8 8 11 11 0 7 53 45
"MCa" 15 15 8 9 10 9 7 0 49 45
"Rome3" 52 52 53 55 53 53 53 49 0 50
"VimA" 41 45 45 45 44 44 45 45 50 0
