"Aqu" "Ger1" "Ger2" "Dij" "Arne" "Nev" "Gai" "MCa" "Rome3" "VimC"
"Aqu" 0 8 8 13 14 12 10 20 52 53
"Ger1" 8 0 3 13 14 11 13 18 56 49
"Ger2" 8 3 0 12 13 10 12 20 56 48
"Dij" 13 13 12 0 11 10 12 15 54 51
"Arne" 14 14 13 11 0 10 10 23 55 51
"Nev" 12 11 10 10 10 0 11 20 55 48
"Gai" 10 13 12 12 10 11 0 19 54 48
"MCa" 20 18 20 15 23 20 19 0 57 50
"Rome3" 52 56 56 54 55 55 54 57 0 57
"VimC" 53 49 48 51 51 48 48 50 57 0
