"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 0 0.0712290502793296 0.0614525139664804 0.0684357541899441 0.0768156424581006 0.0879888268156425 0.0907821229050279 0.198324022346369
"Dij" 0.0712290502793296 0 0.0544692737430168 0.0600558659217877 0.0656424581005587 0.0810055865921788 0.0726256983240224 0.210893854748603
"Arne" 0.0614525139664804 0.0544692737430168 0 0.0558659217877095 0.0684357541899441 0.0837988826815642 0.085195530726257 0.205307262569832
"Nev" 0.0684357541899441 0.0600558659217877 0.0558659217877095 0 0.058659217877095 0.0921787709497207 0.0879888268156425 0.210893854748603
"NIt" 0.0768156424581006 0.0656424581005587 0.0684357541899441 0.058659217877095 0 0.0949720670391061 0.0921787709497207 0.208100558659218
"Gai" 0.0879888268156425 0.0810055865921788 0.0837988826815642 0.0921787709497207 0.0949720670391061 0 0.0698324022346369 0.201117318435754
"MCa" 0.0907821229050279 0.0726256983240224 0.085195530726257 0.0879888268156425 0.0921787709497207 0.0698324022346369 0 0.209497206703911
"Rome3" 0.198324022346369 0.210893854748603 0.205307262569832 0.210893854748603 0.208100558659218 0.201117318435754 0.209497206703911 0
