"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 1 0.986552651746749 0.992648538358183 0.986513766259691 0.978940231301265 0.977029982127175 0.972892350952009 0.680850548554452
"Dij" 0.986552651746749 1 0.994258522702736 0.988301520040125 0.982163698380268 0.965078400251725 0.97886988252373 0.637217852510562
"Arne" 0.992648538358183 0.994258522702736 1 0.989669560475618 0.976361288184726 0.967221133182205 0.964312885809741 0.666236040013727
"Nev" 0.986513766259691 0.988301520040125 0.989669560475618 1 0.988215645925751 0.954469407337081 0.965132021075265 0.647100513382473
"NIt" 0.978940231301265 0.982163698380268 0.976361288184726 0.988215645925751 1 0.962116069445119 0.959580334835128 0.672617469438536
"Gai" 0.977029982127175 0.965078400251725 0.967221133182205 0.954469407337081 0.962116069445119 1 0.974777440630731 0.671739279183158
"MCa" 0.972892350952009 0.97886988252373 0.964312885809741 0.965132021075265 0.959580334835128 0.974777440630731 1 0.636970110844206
"Rome3" 0.680850548554452 0.637217852510562 0.666236040013727 0.647100513382473 0.672617469438536 0.671739279183158 0.636970110844206 1
