"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 0 0.387155234536837 0.385392908361417 0.38261028808444 0.394111785229281 0.391329164952304 0.392720475090792 0.479920270469827
"Dij" 0.387155234536837 0 0.357937721628571 0.344024620243682 0.360349325868618 0.346621732502194 0.350610154899196 0.46322454880796
"Arne" 0.385392908361417 0.357937721628571 0 0.356175395453151 0.37045951287497 0.367676892597993 0.374633443290437 0.474355029915871
"Nev" 0.38261028808444 0.344024620243682 0.356175395453151 0 0.356546411490082 0.361555127988642 0.366285582459504 0.469068051389613
"NIt" 0.394111785229281 0.360349325868618 0.37045951287497 0.356546411490082 0 0.376395769465856 0.38261028808444 0.462204254706402
"Gai" 0.391329164952304 0.346621732502194 0.367676892597993 0.361555127988642 0.376395769465856 0 0.310447668901483 0.46028171706049
"MCa" 0.392720475090792 0.350610154899196 0.374633443290437 0.366285582459504 0.38261028808444 0.310447668901483 0 0.4716794334957
"Rome3" 0.479920270469827 0.46322454880796 0.474355029915871 0.469068051389613 0.462204254706402 0.46028171706049 0.4716794334957 0
