"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 0 0.120300751879699 0.103383458646617 0.120300751879699 0.142857142857143 0.154135338345865 0.157894736842105 0.761278195488722
"Dij" 0.120300751879699 0 0.093984962406015 0.109022556390977 0.12781954887218 0.171052631578947 0.137218045112782 0.853383458646617
"Arne" 0.103383458646617 0.093984962406015 0 0.103383458646617 0.142857142857143 0.167293233082707 0.169172932330827 0.800751879699248
"Nev" 0.120300751879699 0.109022556390977 0.103383458646617 0 0.110902255639098 0.197368421052632 0.169172932330827 0.857142857142857
"NIt" 0.142857142857143 0.12781954887218 0.142857142857143 0.110902255639098 0 0.18984962406015 0.18609022556391 0.834586466165414
"Gai" 0.154135338345865 0.171052631578947 0.167293233082707 0.197368421052632 0.18984962406015 0 0.140977443609023 0.738721804511278
"MCa" 0.157894736842105 0.137218045112782 0.169172932330827 0.169172932330827 0.18609022556391 0.140977443609023 0 0.772556390977444
"Rome3" 0.761278195488722 0.853383458646617 0.800751879699248 0.857142857142857 0.834586466165414 0.738721804511278 0.772556390977444 0
