"Aqu" "Ger1" "Sens" "Arne" "Nev" "Gai" "MCa" "Rome2" "Rome3" "VimA"
"Aqu" 0 63 66 69 69 69 64 130 119 108
"Ger1" 63 0 68 56 67 56 55 116 109 109
"Sens" 66 68 0 66 62 63 64 119 112 107
"Arne" 69 56 66 0 65 54 59 116 113 112
"Nev" 69 67 62 65 0 62 63 117 112 105
"Gai" 69 56 63 54 62 0 55 113 110 110
"MCa" 64 55 64 59 63 55 0 116 105 108
"Rome2" 130 116 119 116 117 113 116 0 59 117
"Rome3" 119 109 112 113 112 110 105 59 0 120
"VimA" 108 109 107 112 105 110 108 117 120 0
