"Aqu" "Ger1" "Dij" "Arne" "Nev" "Che" "Gai" "MCa" "Rou" "Rome3"
"Aqu" 0 80 79 76 80 78 83 96 90 165
"Ger1" 80 0 70 75 76 67 62 91 82 163
"Dij" 79 70 0 64 62 62 57 83 68 164
"Arne" 76 75 64 0 60 56 64 79 69 172
"Nev" 80 76 62 60 0 61 62 80 67 163
"Che" 78 67 62 56 61 0 58 80 76 172
"Gai" 83 62 57 64 62 58 0 81 66 167
"MCa" 96 91 83 79 80 80 81 0 79 146
"Rou" 90 82 68 69 67 76 66 79 0 156
"Rome3" 165 163 164 172 163 172 167 146 156 0
