"Aqu" "Ger1" "Dij" "Sens" "Nev" "Che" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 0 66 76 74 74 73 70 75 156 139
"Ger1" 66 0 77 77 76 72 72 78 153 140
"Dij" 76 77 0 65 74 77 67 72 153 141
"Sens" 74 77 65 0 67 74 67 72 162 135
"Nev" 74 76 74 67 0 74 73 68 156 131
"Che" 73 72 77 74 74 0 71 78 163 138
"Gai" 70 72 67 67 73 71 0 72 158 135
"MCa" 75 78 72 72 68 78 72 0 152 137
"Rome3" 156 153 153 162 156 163 158 152 0 169
"VimA" 139 140 141 135 131 138 135 137 169 0
