"Aqu" "Ger1" "Dij" "Arne" "Nev" "Aux" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 0 74 76 71 77 85 98 97 82 190
"Ger1" 74 0 71 71 73 83 95 89 81 181
"Dij" 76 71 0 62 67 76 86 76 67 181
"Arne" 71 71 62 0 60 70 81 80 70 177
"Nev" 77 73 67 60 0 57 75 75 64 176
"Aux" 85 83 76 70 57 0 84 84 70 182
"NIt" 98 95 86 81 75 84 0 94 84 196
"Gai" 97 89 76 80 75 84 94 0 69 191
"MCa" 82 81 67 70 64 70 84 69 0 178
"Rome3" 190 181 181 177 176 182 196 191 178 0
