"Aqu" "Ger1" "Ger2" "Dij" "Arne" "Nev" "Gai" "MCa" "Rome3" "VimC"
"Aqu" 0 92 91 98 96 97 99 110 165 156
"Ger1" 92 0 83 94 93 92 98 106 161 152
"Ger2" 91 83 0 94 92 93 98 106 162 152
"Dij" 98 94 94 0 87 92 99 103 166 149
"Arne" 96 93 92 87 0 88 91 106 165 142
"Nev" 97 92 93 92 88 0 94 106 158 141
"Gai" 99 98 98 99 91 94 0 110 165 145
"MCa" 110 106 106 103 106 106 110 0 162 149
"Rome3" 165 161 162 166 165 158 165 162 0 185
"VimC" 156 152 152 149 142 141 145 149 185 0
