"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 0 51 44 49 55 63 65 142
"Dij" 51 0 39 43 47 58 52 151
"Arne" 44 39 0 40 49 60 61 147
"Nev" 49 43 40 0 42 66 63 151
"NIt" 55 47 49 42 0 68 66 149
"Gai" 63 58 60 66 68 0 50 144
"MCa" 65 52 61 63 66 50 0 150
"Rome3" 142 151 147 151 149 144 150 0
